Ratio|Run Time|Wait Time|JobID|User|Group|Submit|Start|End|Timelimit|ReqMem|MaxRSS|AllocCPUS|CPUTimeRAW(s)
.00013|00:00:24|02-02:57:06|467114|aschneid|choueiry|2014-03-18T13:17:03|2014-03-20T16:14:09|2014-03-20T16:14:33|2-02:00:00|8096Mc||1|24
.00015|00:00:28|02-02:57:02|467040|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:14:32|2-02:00:00|8096Mc||1|28
.00020|00:00:37|02-02:57:03|467108|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:05|2014-03-20T16:14:42|2-02:00:00|8096Mc||1|37
.00020|00:00:38|02-02:57:02|467071|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:14:42|2-02:00:00|8096Mc||1|38
.00020|00:00:38|02-02:57:02|467077|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:14:42|2-02:00:00|8096Mc||1|38
.00022|00:00:42|02-02:57:04|467373|aschneid|choueiry|2014-03-18T13:17:08|2014-03-20T16:14:12|2014-03-20T16:14:54|3-00:00:00|8096Mc||1|42
.00023|00:00:43|02-02:57:01|467035|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:03|2014-03-20T16:14:46|2-02:00:00|8096Mc||1|43
.00023|00:00:44|02-02:57:03|467336|aschneid|choueiry|2014-03-18T13:17:08|2014-03-20T16:14:11|2014-03-20T16:14:55|3-00:00:00|8096Mc||1|44
.00025|00:00:46|02-02:57:02|467046|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:14:50|2-02:00:00|8096Mc||1|46
.00025|00:00:46|02-02:57:02|467047|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:14:50|2-02:00:00|8096Mc||1|46
.00025|00:00:46|02-02:57:02|467049|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:14:50|2-02:00:00|8096Mc||1|46
.00025|00:00:46|02-02:57:02|467050|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:14:50|2-02:00:00|8096Mc||1|46
.00025|00:00:46|02-02:57:06|467188|aschneid|choueiry|2014-03-18T13:17:04|2014-03-20T16:14:10|2014-03-20T16:14:56|3-00:00:00|8096Mc||1|46
.00025|00:00:46|02-02:57:07|467151|aschneid|choueiry|2014-03-18T13:17:03|2014-03-20T16:14:10|2014-03-20T16:14:56|3-00:00:00|8096Mc||1|46
.00025|00:00:47|02-02:57:02|467041|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:14:51|2-02:00:00|8096Mc||1|47
.00026|00:00:48|02-02:56:56|468115|aschneid|choueiry|2014-03-18T13:17:18|2014-03-20T16:14:14|2014-03-20T16:15:02|3-00:00:00|8096Mc||1|48
.00026|00:00:48|02-02:57:00|467670|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:13|2014-03-20T16:15:01|3-00:00:00|8096Mc||1|48
.00026|00:00:48|02-02:57:01|467558|aschneid|choueiry|2014-03-18T13:17:12|2014-03-20T16:14:13|2014-03-20T16:15:01|2-04:00:00|8096Mc||1|48
.00026|00:00:49|02-02:56:56|468152|aschneid|choueiry|2014-03-18T13:17:19|2014-03-20T16:14:15|2014-03-20T16:15:04|2-16:00:00|8096Mc||1|49
.00026|00:00:49|02-02:57:02|468300|aschneid|choueiry|2014-03-18T13:17:21|2014-03-20T16:14:23|2014-03-20T16:15:12|3-00:00:00|8096Mc||1|49
.00027|00:00:51|02-02:57:02|467048|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:14:55|2-02:00:00|8096Mc||1|51
.00027|00:00:51|02-02:57:02|468263|aschneid|choueiry|2014-03-18T13:17:20|2014-03-20T16:14:22|2014-03-20T16:15:13|3-00:00:00|8096Mc||1|51
.00027|00:00:51|02-02:57:08|468559|aschneid|choueiry|2014-03-18T13:17:24|2014-03-20T16:14:32|2014-03-20T16:15:23|3-00:00:00|8096Mc||1|51
.00028|00:00:52|02-02:57:06|467299|aschneid|choueiry|2014-03-18T13:17:05|2014-03-20T16:14:11|2014-03-20T16:15:03|3-00:00:00|8096Mc||1|52
.00028|00:00:53|02-02:57:07|468707|aschneid|choueiry|2014-03-18T13:17:26|2014-03-20T16:14:33|2014-03-20T16:15:26|3-00:00:00|8096Mc||1|53
.00028|00:00:53|02-02:57:07|468744|aschneid|choueiry|2014-03-18T13:17:27|2014-03-20T16:14:34|2014-03-20T16:15:27|3-00:00:00|8096Mc||1|53
.00028|00:00:53|02-02:57:08|468596|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:15:26|3-00:00:00|8096Mc||1|53
.00032|00:01:00|02-02:57:03|468220|aschneid|choueiry|2014-03-18T13:17:19|2014-03-20T16:14:22|2014-03-20T16:15:22|2-06:00:00|8096Mc||1|60
.00033|00:01:01|02-02:56:59|468522|aschneid|choueiry|2014-03-18T13:17:24|2014-03-20T16:14:23|2014-03-20T16:15:24|3-00:00:00|8096Mc||1|61
.00033|00:01:02|02-02:57:01|468189|aschneid|choueiry|2014-03-18T13:17:19|2014-03-20T16:14:20|2014-03-20T16:15:22|2-06:00:00|8096Mc||1|62
.00034|00:01:03|02-02:57:02|467043|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:07|2-02:00:00|8096Mc||1|63
.00035|00:01:05|02-02:57:02|467410|aschneid|choueiry|2014-03-18T13:17:10|2014-03-20T16:14:12|2014-03-20T16:15:17|3-00:00:00|8096Mc||1|65
.00035|00:01:05|02-02:57:06|467145|aschneid|choueiry|2014-03-18T13:17:03|2014-03-20T16:14:09|2014-03-20T16:15:14|2-02:00:00|8096Mc||1|65
.00036|00:01:07|02-02:57:02|467052|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:11|2-02:00:00|8096Mc||1|67
.00038|00:01:10|02-02:57:01|467037|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:03|2014-03-20T16:15:13|2-02:00:00|8096Mc||1|70
.00038|00:01:11|02-02:53:35|468832|aschneid|choueiry|2014-03-18T13:20:59|2014-03-20T16:14:34|2014-03-20T16:15:45|2-02:00:00|8096Mc||1|71
.00038|00:01:11|02-02:57:02|467057|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:15|2-02:00:00|8096Mc||1|71
.00038|00:01:11|02-02:57:02|467060|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:15|2-02:00:00|8096Mc||1|71
.00039|00:01:13|02-02:57:02|467058|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:17|2-02:00:00|8096Mc||1|73
.00040|00:01:14|02-02:57:02|467042|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:18|2-02:00:00|8096Mc||1|74
.00040|00:01:14|02-02:57:02|467051|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:18|2-02:00:00|8096Mc||1|74
.00040|00:01:14|02-02:57:02|467059|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:18|2-02:00:00|8096Mc||1|74
.00040|00:01:15|02-02:57:02|467055|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:19|2-02:00:00|8096Mc||1|75
.00040|00:01:15|02-02:57:02|467056|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:19|2-02:00:00|8096Mc||1|75
.00041|00:01:17|02-02:57:04|467367|aschneid|choueiry|2014-03-18T13:17:08|2014-03-20T16:14:12|2014-03-20T16:15:29|3-00:00:00|8096Mc||1|77
.00043|00:01:19|02-02:57:04|467404|aschneid|choueiry|2014-03-18T13:17:08|2014-03-20T16:14:12|2014-03-20T16:15:31|3-00:00:00|8096Mc||1|79
.00045|00:01:24|02-02:57:07|468775|aschneid|choueiry|2014-03-18T13:17:27|2014-03-20T16:14:34|2014-03-20T16:15:58|3-00:00:00|8096Mc||1|84
.00046|00:01:26|02-02:57:02|467044|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:30|2-02:00:00|8096Mc||1|86
.00046|00:01:26|02-02:57:02|467053|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:30|2-02:00:00|8096Mc||1|86
.00046|00:01:26|02-02:57:02|467054|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:30|2-02:00:00|8096Mc||1|86
.00048|00:01:25|02-01:00:00|469697|ymechqrane|choueiry|2014-03-18T15:14:36|2014-03-20T16:14:36|2014-03-20T16:16:01|3-00:00:00|8096Mc||1|85
.00048|00:01:27|02-02:11:28|469339|ymechqrane|choueiry|2014-03-18T14:02:52|2014-03-20T16:14:20|2014-03-20T16:15:47|3-00:00:00|8096Mc||1|87
.00048|00:01:29|02-02:57:01|467036|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:03|2014-03-20T16:15:32|2-02:00:00|8096Mc||1|89
.00049|00:01:31|02-02:53:35|468834|aschneid|choueiry|2014-03-18T13:20:59|2014-03-20T16:14:34|2014-03-20T16:16:05|2-02:00:00|8096Mc||1|91
.00049|00:01:31|02-02:57:02|467065|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:35|2-02:00:00|8096Mc||1|91
.00050|00:01:32|02-02:57:02|467061|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:36|2-02:00:00|8096Mc||1|92
.00050|00:01:32|02-02:57:08|468738|aschneid|choueiry|2014-03-18T13:17:26|2014-03-20T16:14:34|2014-03-20T16:16:06|3-00:00:00|8096Mc||1|92
.00051|00:01:34|02-02:53:35|468833|aschneid|choueiry|2014-03-18T13:20:59|2014-03-20T16:14:34|2014-03-20T16:16:08|2-02:00:00|8096Mc||1|94
